"Date","Open","High","Low","Close","Volume","Market Cap"
"8-4-2024","60,676.09","61,062.99","57,210.80","58,116.98","31,758,917,219","1,146,844,860,381"
"8-3-2024","61,414.81","62,148.37","59,836.53","60,680.09","31,753,030,589","1,197,456,370,706"
"8-2-2024","65,353.50","65,523.22","61,184.89","61,415.06","43,060,875,727","1,212,008,164,272"
"8-1-2024","64,625.84","65,593.24","62,248.94","65,357.50","40,975,554,494","1,289,712,080,282"
"7-31-2024","66,201.27","66,810.21","64,532.05","64,619.25","31,292,785,994","1,275,323,104,044"
"7-30-2024","66,819.05","66,987.67","65,323.19","66,201.02","31,380,492,109","1,306,384,437,839"
"7-29-2024","68,259.05","69,987.54","66,532.59","66,819.92","40,780,682,628","1,318,540,566,549"
"7-28-2024","67,808.66","68,301.85","67,085.83","68,255.87","18,043,166,945","1,346,858,598,264"
"7-27-2024","67,911.81","69,398.51","66,705.22","67,813.34","34,691,905,492","1,338,003,104,418"
"7-26-2024","65,771.81","68,207.60","65,743.77","67,912.06","30,488,630,457","1,340,006,377,389"
"7-25-2024","65,375.87","66,112.42","63,473.47","65,777.22","38,315,761,670","1,297,746,222,202"
"7-24-2024","65,927.86","67,113.98","65,146.99","65,372.13","27,470,942,309","1,289,901,286,823"
"7-23-2024","67,584.80","67,779.02","65,484.46","65,927.67","35,605,668,666","1,300,762,573,330"
"7-22-2024","68,152.98","68,480.06","66,611.30","67,585.25","42,649,109,453","1,333,416,492,642"
"7-21-2024","67,164.91","68,372.91","65,842.30","68,154.52","26,652,190,004","1,344,591,292,880"
"7-20-2024","66,709.93","67,610.73","66,299.62","67,163.64","19,029,581,250","1,325,061,487,222"
"7-19-2024","63,972.33","67,442.64","63,329.34","66,710.15","37,003,855,410","1,316,050,877,556"
"7-18-2024","64,104.74","65,104.66","63,246.16","63,974.07","27,239,305,337","1,262,047,185,003"
"7-17-2024","65,091.83","66,066.73","63,896.09","64,118.79","32,525,071,311","1,264,876,808,968"
"7-16-2024","64,784.42","65,354.34","62,487.97","65,097.15","41,617,346,768","1,284,144,530,410"
"7-15-2024","60,815.46","64,870.15","60,704.93","64,870.15","38,094,526,099","1,279,638,364,954"
"7-14-2024","59,225.25","61,329.53","59,225.25","60,787.79","22,223,416,061","1,198,755,021,572"
"7-13-2024","57,908.74","59,787.08","57,796.44","59,231.95","17,080,061,806","1,168,067,978,181"
"7-12-2024","57,341.19","58,532.55","56,590.17","57,899.47","25,604,805,221","1,141,786,144,917"
"7-11-2024","57,729.89","59,299.43","57,120.38","57,344.91","28,707,803,842","1,130,840,802,043"
"7-10-2024","58,033.88","59,359.43","57,178.41","57,742.49","26,175,260,526","1,138,673,101,576"
"7-9-2024","56,704.60","58,239.20","56,316.88","58,009.23","27,849,512,607","1,143,927,440,649"
"7-8-2024","55,849.57","58,131.34","54,321.02","56,705.10","39,766,159,899","1,118,206,962,401"
"7-7-2024","58,239.43","58,371.12","55,793.33","55,849.11","20,553,359,505","1,101,324,021,019"
"7-6-2024","56,659.08","58,472.55","56,038.96","58,303.54","20,610,320,577","1,149,721,701,454"
"7-5-2024","57,022.81","57,497.15","53,717.38","56,662.37","55,417,544,033","1,117,355,596,307"
"7-4-2024","60,147.14","60,399.67","56,777.80","56,977.70","41,149,609,230","1,123,568,935,037"
"7-3-2024","62,034.33","62,187.70","59,419.39","60,173.92","29,756,701,685","1,186,592,344,847"
"7-2-2024","62,844.41","63,203.36","61,752.75","62,029.02","20,151,616,992","1,223,171,892,636"
"7-1-2024","62,673.61","63,777.23","62,495.51","62,851.98","25,468,379,421","1,239,386,428,569"
"6-30-2024","60,888.45","62,892.83","60,632.95","62,678.29","17,333,226,409","1,235,944,779,945"
"6-29-2024","60,319.87","61,097.62","60,300.97","60,887.38","12,652,903,396","1,200,610,071,823"
"6-28-2024","61,612.81","62,126.10","59,985.40","60,320.14","24,952,866,877","1,189,406,366,262"
"6-27-2024","60,811.23","62,293.86","60,585.33","61,604.80","21,231,745,045","1,214,717,875,147"
"6-26-2024","61,789.68","62,434.14","60,695.19","60,811.28","22,506,003,064","1,199,038,781,432"
"6-25-2024","60,266.28","62,258.26","60,239.75","61,804.64","29,201,215,431","1,218,587,029,578"
"6-24-2024","63,173.35","63,292.53","58,601.70","60,277.41","43,152,133,651","1,188,446,806,983"
"6-23-2024","64,248.96","64,491.70","63,180.80","63,180.80","11,170,471,802","1,245,656,822,238"
"6-22-2024","64,113.86","64,475.47","63,929.76","64,252.58","9,858,198,793","1,266,764,455,740"
"6-21-2024","64,837.99","65,007.55","63,378.89","64,096.20","26,188,171,739","1,263,661,931,353"
"6-20-2024","64,960.30","66,438.96","64,547.85","64,828.66","25,641,109,124","1,278,081,520,105"
"6-19-2024","65,146.66","65,695.35","64,693.30","64,960.30","21,103,423,504","1,280,662,535,002"
"6-18-2024","66,490.98","66,556.70","64,066.96","65,140.74","39,481,285,950","1,284,195,191,637"
"6-17-2024","66,636.52","67,188.32","65,094.96","66,490.29","30,006,354,476","1,310,771,374,540"
"6-16-2024","66,189.36","66,894.84","66,018.25","66,639.05","13,281,140,541","1,313,672,583,954"
"6-15-2024","66,006.74","66,402.19","65,871.78","66,191.00","14,121,265,576","1,304,788,441,997"
"6-14-2024","66,747.57","67,294.65","65,056.89","66,011.09","27,403,884,779","1,301,221,571,384"
"6-13-2024","68,243.10","68,365.78","66,304.57","66,756.40","28,955,204,146","1,315,894,956,574"
"6-12-2024","67,321.37","69,977.89","66,902.46","68,241.18","34,497,940,694","1,345,134,120,907"
"6-11-2024","69,508.08","69,549.42","66,123.60","67,332.03","37,116,136,345","1,327,182,056,472"
"6-10-2024","69,644.31","70,146.07","69,232.43","69,512.28","20,597,699,541","1,370,130,002,869"
"6-9-2024","69,297.49","69,817.52","69,160.84","69,647.99","13,534,028,500","1,372,773,642,949"
"6-8-2024","69,324.18","69,533.32","69,210.74","69,305.77","14,262,185,861","1,365,997,475,512"
"6-7-2024","70,759.18","71,907.85","68,507.26","69,342.59","36,188,381,096","1,366,686,633,129"
